SiteNumber,SiteName,BeginDate,EndDate,Latitude,Longitude,DrainageArea_sqmi
03025000,"Sugar Creek at Sugarcreek, PA",10/1/1932,11/6/1979,41.428668,-79.879778,166
03037525,"South Branch Plum Creek at Five Points, PA",5/22/1996,11/2/1998,40.718954,-79.236427,33.3
03040000,"Stonycreek River at Ferndale, PA",10/2/1913,9/30/2005,40.28563,-78.920581,451
03045000,"Loyalhanna Creek at Kingston, PA",1/1/1940,9/30/2005,40.29257,-79.340591,172
03049500,"Allegheny River at Natrona, PA",10/1/1938,9/30/2005,40.615344,-79.718381,11410
03060500,"SALEM FORK AT SALEM, WV",1/1/1951,10/1/1969,39.286199,-80.542874,8.32
03065200,"BLACKWATER R @ CORTLAND, WV",10/1/1991,9/30/1993,39.064275,-79.413382,18.5
03065400,"BLACKWATER R NR DAVIS,WV",10/1/1995,9/30/2005,39.140108,-79.419771,54.7
03066000,"BLACKWATER R AT DAVIS, WV",5/1/1921,9/30/2005,39.127052,-79.468385,85.9
03068607,"STALNAKER RUN NEAR BOWDEN, WV",10/1/1978,9/30/1980,38.917331,-79.686172,1.55
03068800,"SHAVERS FORK BELOW BOWDEN, WV",8/31/1973,9/30/2005,38.913163,-79.770342,151
03078000,"CASSELMAN RIVER AT GRANTSVILLE, MD",7/25/1947,9/30/2005,39.702194,-79.136389,62.5
03080000,"Laurel Hill Creek at Ursina, PA",10/1/1918,9/30/2005,39.820355,-79.321423,121
03083500,"Youghiogheny River at Sutersville, PA",10/1/1920,9/30/2005,40.24007,-79.806434,1715
03105500,"Beaver River at Wampum, PA",10/1/1914,9/30/2005,40.888674,-80.337008,2235
03106000,"Connoquenessing Creek near Zelienople, PA",10/1/1919,9/30/2005,40.817009,-80.242284,356
03106500,"Slippery Rock Creek at Wurtemburg, PA",10/1/1911,9/30/2005,40.883952,-80.233673,398
03107500,"Beaver River at Beaver Falls, PA",10/1/1956,9/30/2005,40.763398,-80.315063,3106
03109500,Little Beaver Creek near East Liverpool OH,10/1/1915,9/30/2005,40.675897,-80.540624,496
03111500,Short Creek near Dillonvale OH,10/1/1941,9/30/2005,40.193404,-80.734248,123
03115400,Little Muskingum River at Bloomfield OH,9/13/1958,9/30/2005,39.563129,-81.203724,210
03117500,Sandy Creek at Waynesburg OH,12/1/1938,9/30/2005,40.672561,-81.259831,253
03137000,Kokosing River at Millwood OH,10/1/1921,9/30/1974,40.397565,-82.285712,455
03139940,Little Mill Creek near Coshocton OH-USGS 03139940,4/1/1982,10/4/1983,40.400345,-81.798187,1.44
03144000,Wakatomika Creek near Frazeysburg OH,10/1/1936,9/30/2005,40.132568,-82.14792,140
03144500,Muskingum River at Dresden OH,10/1/1921,9/30/1984,40.120347,-81.99958,5993
03146000,North Fork Licking River at Utica OH,10/1/1939,10/19/1982,40.22812,-82.451548,116
03150000,Muskingum River at McConnelsville OH,10/1/1921,9/30/2004,39.645071,-81.849858,7422
03155000,"LITTLE KANAWHA RIVER AT PALESTINE, WV",10/1/1939,9/30/2005,39.058969,-81.389564,1516
03155410,"NORTH BEND RUN NEAR CAIRO,WV",6/14/1985,9/30/1987,39.222856,-81.116778,0.14
03155520,"ROBINSON RUN NEAR PETROLEUM,WV",6/14/1985,9/30/1987,39.229244,-81.224003,0.07
03159500,Hocking River at Athens OH,10/2/1915,9/30/2005,39.328962,-82.087644,943
03159510,Hocking River below Athens OH,10/1/1976,3/31/1993,39.327574,-82.004863,957
03178000,"BLUESTONE R NR SPANISHBURG, WV",10/1/1944,9/30/1998,37.433451,-81.110926,199
03186500,"WILLIAMS RIVER AT DYER, WV",9/16/1929,9/30/2005,38.378999,-80.483974,128
03187500,"CRANBERRY RIVER NEAR RICHWOOD, WV",10/1/1944,9/30/2005,38.29539,-80.526475,80.4
03191500,"PETERS CREEK NEAR LOCKWOOD, WV",10/1/1945,9/30/2005,38.262607,-81.023158,40.2
03193000,"KANAWHA RIVER AT KANAWHA FALLS, WV",<Null>,9/30/2005,38.138163,-81.214275,8371
03198350,"CLEAR FORK AT WHITESVILLE, WV",10/1/1996,9/30/2005,37.966219,-81.524278,62.8
03202000,Raccoon Creek at Adamsville OH,10/1/1915,9/30/2005,38.858967,-82.36182,585
03202240,"ALLEN CREEK AT ALLEN JUNCTION, WV",11/3/1977,12/31/1979,37.592614,-81.346491,8.43
03204000,"GUYANDOTTE RIVER AT BRANCHLAND, WV",10/1/1915,9/30/1995,38.220923,-82.202642,1224
03204500,"MUD RIVER NEAR MILTON, WV",11/9/1924,10/23/1980,38.388422,-82.113196,256
03207800,"LEVISA FORK AT BIG ROCK, VA",10/2/1967,9/30/2005,37.35372,-82.195693,297
03207875,"FEDS CREEK AT FEDS CREEK, KY",10/1/1973,12/31/1975,37.402052,-82.243752,11.6
03207905,"BIG CREEK AT DUNLAP, KY",8/21/1974,6/30/1976,37.428718,-82.247641,9.55
03207915,"ELKFOOT BRANCH LEVISA FORK NEAR HIGH, KY",10/1/1980,9/30/1984,37.397885,-82.284031,0.7
03207935,"LICK CREEK AT LICK CREEK, KY",10/8/1973,6/30/1976,37.395662,-82.302088,6.7
03207940,"MILLERS CREEK NEAR PHYLLIS, KY",11/13/1973,7/25/1975,37.42205,-82.331255,1.68
03207962,"DICKS FORK AT PHYLLIS, KY",10/1/1975,10/11/1984,37.449271,-82.337644,0.82
03207965,"GRAPEVINE CREEK NEAR PHYLLIS, KY",10/1/1973,9/30/2005,37.432605,-82.353756,6.2
03208000,"LEVISA FORK BELOW FISHTRAP DAM NEAR MILLARD, KY",1/25/1938,9/30/2000,37.425937,-82.41237,392
03208036,"BARTON FORK NEAR COUNCIL, VA",7/2/1981,9/30/1983,37.077055,-82.039018,1.24
03209500,"LEVISA FORK AT PIKEVILLE, KY",10/1/1937,9/30/2005,37.464268,-82.526263,1232
03210000,"JOHNS CREEK NEAR META, KY",4/1/1941,9/30/2005,37.567044,-82.457927,56.3
03210310,"BRUSHY FORK AT HEENON, KY",10/1/1974,6/30/1976,37.66621,-82.484038,20.4
03211500,"JOHNS CREEK NEAR VAN LEAR, KY",10/1/1939,9/30/1992,37.743707,-82.724047,206
03214000,"TUG FORK NEAR KERMIT, WV",8/1/1934,9/30/1985,37.817597,-82.388757,1188
03214900,"TUG FORK AT GLENHAYES, WV",3/16/1976,9/30/1993,38.005647,-82.514597,1507
03215000,"BIG SANDY R AT LOUISA, KY",10/1/1939,10/14/1976,38.171197,-82.634602,3897
03216500,"LITTLE SANDY RIVER AT GRAYSON, KY",4/1/1938,9/30/2005,38.330081,-82.939335,400
03216600,"OHIO RIVER AT GREENUP DAM NEAR GREENUP, KY",10/1/1968,9/30/2005,38.646745,-82.860447,62000
03217000,"TYGARTS CREEK NEAR GREENUP, KY",8/5/1940,9/30/2005,38.564245,-82.952116,242
03228805,Alum Creek at Africa OH,6/1/1963,9/30/2005,40.182285,-82.961571,122
03230500,Big Darby Creek at Darbyville OH,10/1/1921,9/30/2005,39.700618,-83.110187,534
03230800,Deer Creek at Mount Sterling OH,10/1/1966,9/30/2005,39.715061,-83.257137,228
03232000,Paint Creek near Greenfield OH,10/1/1995,9/30/2005,39.37923,-83.375471,249
03234000,Paint Creek near Bourneville OH,10/1/1923,9/30/1998,39.263676,-83.166852,807
03237280,Upper Twin Creek at McGaw OH,7/2/1963,9/30/2005,38.643687,-83.215736,12.2
03239000,Little Miami River near Selma OH,8/1/1952,9/30/1958,39.81006,-83.739091,48.9
03240000,Little Miami River near Oldtown OH,8/1/1952,9/30/2005,39.748393,-83.93132,129
03240500,North Fork Massie Creek at Cedarville OH,7/1/1954,9/30/1968,39.757005,-83.790203,28.9
03241500,Massies Creek at Wilberforce OH,9/1/1952,9/30/2005,39.722838,-83.882707,63.2
03245500,Little Miami River at Milford OH,10/1/1915,9/30/2005,39.171449,-84.297993,1203
03246200,East Fork Little Miami River near Marathon OH,8/1/1968,10/12/1983,39.114508,-84.024655,195
03250100,"NORTH FORK TRIPLETT CREEK NEAR MOREHEAD, KY",8/24/1967,9/30/1994,38.199248,-83.480463,84.7
03251000,"NORTH FORK LICKING RIVER NEAR LEWISBURG, KY",8/9/1946,9/30/1991,38.549242,-83.793532,119
03251500,"LICKING RIVER AT MCKINNEYSBURG, KY",7/23/1924,9/30/2005,38.59785,-84.266602,2326
03254000,"LICKING RIVER AT BUTLER, KY",10/1/1938,9/30/1942,38.789512,-84.351326,3385
03259000,Mill Creek at Carthage OH,11/7/1946,9/30/2002,39.202003,-84.471054,115
03261500,Great Miami River at Sidney OH,2/1/1914,9/30/2005,40.286994,-84.149943,541
03262700,Great Miami River at Troy OH,10/1/1962,9/30/2005,40.040332,-84.197721,926
03264000,Greenville Creek near Bradford OH,10/1/1930,9/30/2005,40.102272,-84.42995,193
03265000,Stillwater River at Pleasant Hill OH,10/1/1916,9/30/2005,40.057829,-84.356059,503
03267000,Mad River near Urbana OH,10/1/2002,9/30/2005,40.107557,-83.799098,162
